Телеграм,Ник,Подписч,Комментарий
https://www.instagram.com/granddecor.by,granddecor.by,,
https://www.instagram.com/kaskad.stroy,kaskad.stroy,,
https://www.instagram.com/nastel.shop,nastel.shop,,
https://www.instagram.com/ofz174,ofz174,,
https://www.instagram.com/nevalyashka.vlk,nevalyashka.vlk,,
https://www.instagram.com/bochonok_meda_dv,bochonok_meda_dv,,
https://www.instagram.com/novyi.odiag,novyi.odiag,,
https://www.instagram.com/leroymerlin_vegas,leroymerlin_vegas,,
https://www.instagram.com/bigbensakh,bigbensakh,,
https://www.instagram.com/noryalli.sam,noryalli.sam,,
https://www.instagram.com/reikanen.msk,reikanen.msk,,
https://www.instagram.com/sweets_21_bsk,sweets_21_bsk,,
https://www.instagram.com/kontarevairina,kontarevairina,,
https://www.instagram.com/nslana,nslana,,
https://www.instagram.com/ivantikhonov_dd,ivantikhonov_dd,,
https://www.instagram.com/sergei_bogdanov_72,sergei_bogdanov_72,,
https://www.instagram.com/lepilinaalina,lepilinaalina,,
https://www.instagram.com/generalagro_official,generalagro_official,3000,
https://www.instagram.com/leatherterra,leatherterra,3300,
https://www.instagram.com/zam090,zam090,9200,"депутат, основатель"
https://www.instagram.com/happywear.ru,happywear.ru,21000,
https://www.instagram.com/melenka_ost,melenka_ost,13000,
https://www.instagram.com/svoeforyou,svoeforyou,22000,
https://www.instagram.com/alvero_fabrica,alvero_fabrica,10000,
https://www.instagram.com/elenayakutina0506,elenayakutina0506,171,возможно сетевик
https://www.instagram.com/kamaz_official,kamaz_official,88000,
https://www.instagram.com/tot_samiy_director,tot_samiy_director,4000,
https://www.instagram.com/chess_zlat174,chess_zlat174,17300,
https://www.instagram.com/provence_belovo,provence_belovo,7000,
https://www.instagram.com/den.abdullin88,den.abdullin88,,
https://www.instagram.com/olero_brand,olero_brand,,
https://www.instagram.com/master_house35,master_house35,,
https://www.instagram.com/unique.studio.ua,unique.studio.ua,900,
https://www.instagram.com/clothes_msc,clothes_msc,1800,
https://www.instagram.com/ideal_dveri.ru,ideal_dveri.ru,416000,
https://www.instagram.com/v_books_,v_books_,15000,
https://www.instagram.com/corallkz,corallkz,5000,
https://www.instagram.com/kroshka_crimea,kroshka_crimea,13000,
https://www.instagram.com/yana_svatenkova,yana_svatenkova,1600,
https://www.instagram.com/aldini_gorgonzola,aldini_gorgonzola,2900,
https://www.instagram.com/khusnutdinov.rr,khusnutdinov.rr,6000,
https://www.instagram.com/gemshero,gemshero,9000,
https://www.instagram.com/mariya_bashmakova_,mariya_bashmakova_,2900,
https://www.instagram.com/minakov_ilya,minakov_ilya,10000,
https://www.instagram.com/viktoriya.smi,viktoriya.smi,1000,
https://www.instagram.com/imlitokhin,imlitokhin,1500,
https://www.instagram.com/by_angel.lina,by_angel.lina,4800,
https://www.instagram.com/bezdna_okeana,bezdna_okeana,3100,
https://www.instagram.com/aromaplen_,aromaplen_,1500,
https://www.instagram.com/soda_m.krd,soda_m.krd,1400,
https://www.instagram.com/visionnairemoscow,visionnairemoscow,38000,
https://www.instagram.com/sabihno,sabihno,4500,
https://www.instagram.com/oagrish,oagrish,17000,
https://www.instagram.com/casariccaexpo,casariccaexpo,33000,
https://www.instagram.com/cavalli_home,cavalli_home,65000,
https://www.instagram.com/secrethouse.mebel,secrethouse.mebel,7000,
https://www.instagram.com/mebel_kitay,mebel_kitay,42000,
https://www.instagram.com/bodybend,bodybend,21000,
https://www.instagram.com/bohemialightcrystal.ru,bohemialightcrystal.ru,2400,
https://www.instagram.com/art_boutique.by,art_boutique.by,2700,
https://www.instagram.com/dem4_r,dem4_r,4600,
https://www.instagram.com/vision_biodobavki_,vision_biodobavki_,12000,
https://www.instagram.com/zolotoy_lotos_spb,zolotoy_lotos_spb,1000,"таро, свечи магия"
https://www.instagram.com/camelgroup_russia,camelgroup_russia,800,
https://www.instagram.com/rost_proff_tools,rost_proff_tools,7700,
https://www.instagram.com/olgagrafinia,olgagrafinia,1900,
https://www.instagram.com/knife_mag.ru,knife_mag.ru,24000,
https://www.instagram.com/hybrid_clubdv,hybrid_clubdv,5000,
https://www.instagram.com/rodohlebova,rodohlebova,27000,
https://www.instagram.com/yuli4ka_soap,yuli4ka_soap,1600,
https://www.instagram.com/lstep_v,lstep_v,2800,
https://www.instagram.com/lenaownerss,lenaownerss,4000,
https://www.instagram.com/paradaria,paradaria,6000,
https://www.instagram.com/julia_zaitceva_,julia_zaitceva_,5200,
https://www.instagram.com/diana___amr9595,diana___amr9595,5900,
https://www.instagram.com/armelle.volgograd,armelle.volgograd,3100,
https://www.instagram.com/keysystems_official,keysystems_official,909,конкуренты
https://www.instagram.com/perfumff_boutique,perfumff_boutique,3600,
https://www.instagram.com/wood__vik,wood__vik,1400,
https://www.instagram.com/honeyteddyhair,honeyteddyhair,287000,
https://www.instagram.com/amina_taqinchoqlari_uz,amina_taqinchoqlari_uz,22000,
https://www.instagram.com/krovati_kiz,krovati_kiz,20000,
https://www.instagram.com/natalia_durnostuk,natalia_durnostuk,900,
https://www.instagram.com/miningmachinerygroup,miningmachinerygroup,621,
https://www.instagram.com/kawmet_by,kawmet_by,3700,
https://www.instagram.com/hel.performance.russia,hel.performance.russia,37000,
https://www.instagram.com/uralspectrans,uralspectrans,11000,
https://www.instagram.com/allbook.belarus,allbook.belarus,9000,
https://www.instagram.com/sergievich_anton,sergievich_anton,7000,
https://www.instagram.com/dachaural,dachaural,8900,
https://www.instagram.com/my_hygge_box,my_hygge_box,74000,
https://www.instagram.com/nataliafedusiak,nataliafedusiak,3300,
https://www.instagram.com/elenalagoshina,elenalagoshina,1900,
https://www.instagram.com/parfu_maria,parfu_maria,6300,
https://www.instagram.com/nelly_milosh_jewelry,nelly_milosh_jewelry,1900,
https://www.instagram.com/my_blago_diet_diary,my_blago_diet_diary,800,
https://www.instagram.com/zavodgird,zavodgird,6300,
https://www.instagram.com/yuliasafonova1,yuliasafonova1,3700,
https://www.instagram.com/pokrov.pryanik,pokrov.pryanik,30000,
https://www.instagram.com/ecogoods.ua,ecogoods.ua,8700,
https://www.instagram.com/shceniatskii,shceniatskii,744,
https://www.instagram.com/tcmebelrs,tcmebelrs,8000,
https://www.instagram.com/intertool_ua,intertool_ua,27000,
https://www.instagram.com/gzhel_farfor,gzhel_farfor,54000,
https://www.instagram.com/motorola_rus,motorola_rus,22000,
https://www.instagram.com/tm_tegusto,tm_tegusto,24000,
https://www.instagram.com/4skin_cosmetik,4skin_cosmetik,1800,
https://www.instagram.com/__anna_ch,__anna_ch,3200,
https://www.instagram.com/buket_so_vkusom_odessa,buket_so_vkusom_odessa,3100,
https://www.instagram.com/halal_zaman,halal_zaman,12000,
https://www.instagram.com/byketta,byketta,3100,
https://www.instagram.com/pp_smirnova,pp_smirnova,160000,
https://www.instagram.com/_buketeriya,_buketeriya,2900,
https://www.instagram.com/dasha_podolyak,dasha_podolyak,1400,
https://www.instagram.com/martirikina_magnitogorsk,martirikina_magnitogorsk,1000,
https://www.instagram.com/serj_blik,serj_blik,1000,
https://www.instagram.com/bochiloangelina,bochiloangelina,4500,
https://www.instagram.com/aslanbekaminov,aslanbekaminov,900,
https://www.instagram.com/essens_nns,essens_nns,380,
https://www.instagram.com/mia.inessa,mia.inessa,4300,
https://www.instagram.com/istorearmavir,istorearmavir,10000,
https://www.instagram.com/strawtodraw,strawtodraw,700,
https://www.instagram.com/nayino__cosmetics,nayino__cosmetics,6800,
https://www.instagram.com/charlet_jewelry,charlet_jewelry,1900,
